location_id,street_address,postal_code,city,state_province,country_id,created_on,updated_on
1000,1297 Via Cola di Rie,00989,Roma,,IT,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1100,93091 Calle della Testa,10934,Venice,,IT,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1200,2017 Shinjuku-ku,1689,Tokyo,Tokyo Prefecture,JP,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1300,9450 Kamiya-cho,6823,Hiroshima,,JP,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1400,2014 Jabberwocky Rd,26192,Southlake,Texas,US,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1500,2011 Interiors Blvd,99236,South San Francisco,California,US,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1600,2007 Zagora St,50090,South Brunswick,New Jersey,US,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1700,2004 Charade Rd,98199,Seattle,Washington,US,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1800,147 Spadina Ave,M5V 2L7,Toronto,Ontario,CA,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
1900,6092 Boxwood St,YSW 9T2,Whitehorse,Yukon,CA,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2000,40-5-12 Laogianggen,190518,Beijing,,CN,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2100,1298 Vileparle (E),490231,Bombay,Maharashtra,IN,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2200,12-98 Victoria Street,2901,Sydney,New South Wales,AU,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2300,198 Clementi North,540198,Singapore,,SG,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2400,8204 Arthur St,,London,,UK,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2500,"Magdalen Centre, The Oxford Science Park",OX9 9ZB,Oxford,Oxford,UK,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2600,9702 Chester Road,09629850293,Stretford,Manchester,UK,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2700,Schwanthalerstr. 7031,80925,Munich,Bavaria,DE,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2800,Rua Frei Caneca 1360 ,01307-002,Sao Paulo,Sao Paulo,BR,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
2900,20 Rue des Corps-Saints,1730,Geneva,Geneve,CH,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
3000,Murtenstrasse 921,3095,Bern,BE,CH,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
3100,Pieter Breughelstraat 837,3029SK,Utrecht,Utrecht,NL,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
3200,Mariano Escobedo 9991,11932,Mexico City,"Distrito Federal,",MX,2022-05-01 11:51:18.100,2022-05-01 11:51:18.100
